invoice_no,stock_code,customer_id,invoice_date,quantity,unit_price,total_amount
536365,85123A,17850,01-12-2010 08:26,6,2.55,15.3
536365,71053,17850,01-12-2010 08:26,6,3.39,20.34
536365,84406B,17850,01-12-2010 08:26,8,2.75,22
536365,84029G,17850,01-12-2010 08:26,6,3.39,20.34
536365,84029E,17850,01-12-2010 08:26,6,3.39,20.34
536365,22752,17850,01-12-2010 08:26,2,7.65,15.3
536365,21730,17850,01-12-2010 08:26,6,4.25,25.5
536366,22633,17850,01-12-2010 08:28,6,1.85,11.1
536366,22632,17850,01-12-2010 08:28,6,1.85,11.1
536367,84879,13047,01-12-2010 08:34,32,1.69,54.08
536367,22745,13047,01-12-2010 08:34,6,2.1,12.6
536367,22748,13047,01-12-2010 08:34,6,2.1,12.6
536367,22749,13047,01-12-2010 08:34,8,3.75,30
536367,22310,13047,01-12-2010 08:34,6,1.65,9.9
536367,84969,13047,01-12-2010 08:34,6,4.25,25.5
536367,22623,13047,01-12-2010 08:34,3,4.95,14.85
536367,22622,13047,01-12-2010 08:34,2,9.95,19.9
536367,21754,13047,01-12-2010 08:34,3,5.95,17.85
536367,21755,13047,01-12-2010 08:34,3,5.95,17.85
536367,21777,13047,01-12-2010 08:34,4,7.95,31.8
536367,48187,13047,01-12-2010 08:34,4,7.95,31.8
536368,22960,13047,01-12-2010 08:34,6,4.25,25.5
536368,22913,13047,01-12-2010 08:34,3,4.95,14.85
536368,22912,13047,01-12-2010 08:34,3,4.95,14.85
536368,22914,13047,01-12-2010 08:34,3,4.95,14.85
536369,21756,13047,01-12-2010 08:35,3,5.95,17.85
536370,22728,12583,01-12-2010 08:45,24,3.75,90
536370,22727,12583,01-12-2010 08:45,24,3.75,90
536370,22726,12583,01-12-2010 08:45,12,3.75,45
536370,21724,12583,01-12-2010 08:45,12,0.85,10.2
536370,21883,12583,01-12-2010 08:45,24,0.65,15.6
536370,10002,12583,01-12-2010 08:45,48,0.85,40.8
536370,21791,12583,01-12-2010 08:45,24,1.25,30
536370,21035,12583,01-12-2010 08:45,18,2.95,53.1
536370,22326,12583,01-12-2010 08:45,24,2.95,70.8
536370,22629,12583,01-12-2010 08:45,24,1.95,46.8
536370,22659,12583,01-12-2010 08:45,24,1.95,46.8
536370,22631,12583,01-12-2010 08:45,24,1.95,46.8
536370,22661,12583,01-12-2010 08:45,20,0.85,17
536370,21731,12583,01-12-2010 08:45,24,1.65,39.6
536370,22900,12583,01-12-2010 08:45,24,2.95,70.8
536370,21913,12583,01-12-2010 08:45,12,3.75,45
536370,22540,12583,01-12-2010 08:45,24,0.42,10.08
536370,22544,12583,01-12-2010 08:45,24,0.42,10.08
