invoice_no,stock_code,customer_id,invoice_date,quantity,unit_price,total_amount
C536379,D,14527,01-12-2010 09:41,-1,27.5,-27.5
C536383,35004C,15311,01-12-2010 09:49,-1,4.65,-4.65
C536391,22556,17548,01-12-2010 10:24,-12,1.65,-19.8
C536391,21984,17548,01-12-2010 10:24,-24,0.29,-6.96
C536391,21983,17548,01-12-2010 10:24,-24,0.29,-6.96
C536391,21980,17548,01-12-2010 10:24,-24,0.29,-6.96
C536391,21484,17548,01-12-2010 10:24,-12,3.45,-41.4
C536391,22557,17548,01-12-2010 10:24,-12,1.65,-19.8
C536391,22553,17548,01-12-2010 10:24,-24,1.65,-39.6
C536506,22960,17897,01-12-2010 12:38,-6,4.25,-25.5
C536543,22632,17841,01-12-2010 14:30,-1,2.1,-2.1
C536543,22355,17841,01-12-2010 14:30,-2,0.85,-1.7
C536548,22244,12472,01-12-2010 14:33,-4,1.95,-7.8
C536548,22242,12472,01-12-2010 14:33,-5,1.65,-8.25
C536548,20914,12472,01-12-2010 14:33,-1,2.95,-2.95
C536548,22892,12472,01-12-2010 14:33,-7,1.25,-8.75
C536548,22654,12472,01-12-2010 14:33,-1,5.95,-5.95
C536548,22767,12472,01-12-2010 14:33,-2,9.95,-19.9
C536548,22333,12472,01-12-2010 14:33,-1,1.65,-1.65
C536548,22245,12472,01-12-2010 14:33,-2,0.85,-1.7
C536548,22077,12472,01-12-2010 14:33,-6,1.65,-9.9
C536548,22631,12472,01-12-2010 14:33,-1,1.95,-1.95
C536548,22168,12472,01-12-2010 14:33,-2,8.5,-17
C536548,21218,12472,01-12-2010 14:33,-3,3.75,-11.25
C536548,20957,12472,01-12-2010 14:33,-1,1.45,-1.45
C536548,22580,12472,01-12-2010 14:33,-4,5.95,-23.8
C536606,20914,14092,02-12-2010 09:10,-2,2.95,-5.9
C536622,22752,12471,02-12-2010 10:37,-2,8.5,-17
C536625,22839,14766,02-12-2010 10:46,-2,14.95,-29.9
C536642,21463,14390,02-12-2010 11:56,-1,5.95,-5.95
C536734,22780,16042,02-12-2010 12:50,-4,4.25,-17
C536734,85048,16042,02-12-2010 12:50,-1,7.95,-7.95
C536737,22798,15922,02-12-2010 13:05,-2,2.95,-5.9
C536757,84347,15838,02-12-2010 14:23,-9360,0.03,-280.8
C536758,21314,13767,02-12-2010 14:25,-1,2.1,-2.1
C536760,22175,17547,02-12-2010 14:29,-1,2.95,-2.95
C536760,22273,17547,02-12-2010 14:29,-3,2.95,-8.85
C536807,22501,15834,02-12-2010 16:45,-2,9.95,-19.9
C536807,22778,15834,02-12-2010 16:45,-1,3.95,-3.95
C536812,22578,16546,02-12-2010 16:58,-36,0.85,-30.6
C536812,22574,16546,02-12-2010 16:58,-192,0.72,-138.24
C536812,22593,16546,02-12-2010 16:58,-144,0.72,-103.68
C536812,22595,16546,02-12-2010 16:58,-144,0.72,-103.68
C536812,22588,16546,02-12-2010 16:58,-192,2.1,-403.2
C536812,22130,16546,02-12-2010 16:58,-144,0.72,-103.68
C536814,21527,13958,02-12-2010 17:03,-2,7.95,-15.9
C536814,72799E,13958,02-12-2010 17:03,-6,2.95,-17.7
C536814,85066,13958,02-12-2010 17:03,-2,12.75,-25.5
C536814,21586,13958,02-12-2010 17:03,-12,2.55,-30.6
C536814,21258,13958,02-12-2010 17:03,-1,12.75,-12.75
C536815,85175,14443,02-12-2010 17:05,-1,0.42,-0.42
C536815,22178,14443,02-12-2010 17:05,-1,1.25,-1.25
C536816,21129,14443,02-12-2010 17:06,-2,6.95,-13.9
C536817,22187,14156,02-12-2010 17:08,-1,4.25,-4.25
C536817,71477,14156,02-12-2010 17:08,-1,3.25,-3.25
C536818,84947,16995,02-12-2010 17:09,-1,1.25,-1.25
C536820,22877,18168,02-12-2010 17:14,-1,1.95,-1.95
C536820,22869,18168,02-12-2010 17:14,-1,1.95,-1.95
C536820,22878,18168,02-12-2010 17:14,-1,2.1,-2.1
C536820,21843,18168,02-12-2010 17:14,-1,10.95,-10.95
C536822,22847,14625,02-12-2010 17:19,-2,16.95,-33.9
C536822,21430,14625,02-12-2010 17:19,-1,3.75,-3.75
C536825,22617,15384,02-12-2010 17:27,-1,4.95,-4.95
C536825,22197,15384,02-12-2010 17:27,-2,0.85,-1.7
C536826,35004B,17924,02-12-2010 17:30,-2,4.65,-9.3
C536826,35004B,17924,02-12-2010 17:30,-3,4.65,-13.95
C536827,21527,13408,02-12-2010 17:31,-3,6.95,-20.85
C536828,22832,14264,02-12-2010 17:35,-1,10.75,-10.75
C536828,84946,14264,02-12-2010 17:35,-3,1.25,-3.75
C536829,71477,13295,02-12-2010 17:36,-1,3.25,-3.25
C536850,22942,14213,03-12-2010 09:47,-48,7.65,-367.2
C536850,22689,14213,03-12-2010 09:47,-50,6.75,-337.5
C536850,22591,14213,03-12-2010 09:47,-50,2.55,-127.5
C536850,22580,14213,03-12-2010 09:47,-48,4.95,-237.6
C536850,22186,14213,03-12-2010 09:47,-48,2.55,-122.4
C536853,84678,14679,03-12-2010 10:07,-1,2.55,-2.55
C536854,22158,15240,03-12-2010 10:09,-1,2.95,-2.95
C536854,22944,15240,03-12-2010 10:09,-1,1.25,-1.25
C536854,21871,15240,03-12-2010 10:09,-1,1.25,-1.25
C536855,21527,18225,03-12-2010 10:11,-4,7.95,-31.8
C536978,22776,17954,03-12-2010 14:19,-1,9.95,-9.95
C536979,84685,17841,03-12-2010 14:23,-1,3.75,-3.75
C536979,22630,17841,03-12-2010 14:23,-1,1.95,-1.95
C537024,20893,13941,03-12-2010 16:21,-36,2.1,-75.6
C537039,22854,15708,05-12-2010 10:25,-1,4.95,-4.95
C537039,20936,15708,05-12-2010 10:25,-1,2.95,-2.95
C537039,85175,15708,05-12-2010 10:25,-1,0.42,-0.42
C537043,22575,15351,05-12-2010 10:48,-6,1.95,-11.7
C537043,11001,15351,05-12-2010 10:48,-1,1.69,-1.69
C537132,22788,15221,05-12-2010 12:29,-2,8.5,-17
C537132,22184,15221,05-12-2010 12:29,-1,8.5,-8.5
C537132,71279,15221,05-12-2010 12:29,-2,2.95,-5.9
C537132,22761,15221,05-12-2010 12:29,-2,21.95,-43.9
C537132,22769,15221,05-12-2010 12:29,-8,21.95,-175.6
C537132,22762,15221,05-12-2010 12:29,-3,12.75,-38.25
C537143,20685,12748,05-12-2010 12:58,-1,7.95,-7.95
C537157,35953,15880,05-12-2010 13:09,-24,1.25,-30
C537164,D,14527,05-12-2010 13:21,-1,29.29,-29.29
C537203,37449,14606,05-12-2010 14:44,-1,9.95,-9.95
C537203,21424,14606,05-12-2010 14:44,-1,2.95,-2.95
C537232,84840,12586,06-12-2010 09:31,-2,8.5,-17
C537234,22653,16161,06-12-2010 09:40,-20,1.95,-39
C537251,22429,,06-12-2010 10:45,-2,4.25,-8.5
C537251,22620,,06-12-2010 10:45,-8,1.25,-10
C537251,21890,,06-12-2010 10:45,-2,2.95,-5.9
C537251,22564,,06-12-2010 10:45,-5,1.25,-6.25
C537251,21891,,06-12-2010 10:45,-3,1.25,-3.75
C537251,22747,,06-12-2010 10:45,-6,2.1,-12.6
C537251,22454,,06-12-2010 10:45,-8,2.95,-23.6
C537251,22327,,06-12-2010 10:45,-4,2.95,-11.8
C537251,21915,,06-12-2010 10:45,-4,1.25,-5
C537251,84347,,06-12-2010 10:45,-9,2.55,-22.95
C537251,22748,,06-12-2010 10:45,-4,2.1,-8.4
C537251,22943,,06-12-2010 10:45,-6,4.95,-29.7
C537251,22418,,06-12-2010 10:45,-7,0.85,-5.95
C537251,22911,,06-12-2010 10:45,-2,2.95,-5.9
C537251,22940,,06-12-2010 10:45,-5,4.25,-21.25
C537251,22141,,06-12-2010 10:45,-8,2.1,-16.8
C537251,22328,,06-12-2010 10:45,-2,2.95,-5.9
C537251,22536,,06-12-2010 10:45,-11,0.42,-4.62
C537251,21826,,06-12-2010 10:45,-4,1.25,-5
C537251,22466,,06-12-2010 10:45,-3,1.95,-5.85
C537314,21349,13497,06-12-2010 11:42,-4,6.75,-27
C537320,35400,14867,06-12-2010 11:47,-1,8.95,-8.95
C537333,22636,12474,06-12-2010 12:00,-4,8.5,-34
C537373,22423,14487,06-12-2010 12:55,-1,12.75,-12.75
C537379,22865,15882,06-12-2010 13:12,-10,2.1,-21
C537383,21658,16550,06-12-2010 13:17,-1,3.95,-3.95
C537383,22197,16550,06-12-2010 13:17,-1,0.85,-0.85
C537383,22371,16550,06-12-2010 13:17,-1,4.25,-4.25
C537398,22430,15426,06-12-2010 14:22,-1,4.95,-4.95
C537402,22926,15502,06-12-2010 14:43,-4,5.95,-23.8
C537402,22927,15502,06-12-2010 14:43,-4,5.95,-23.8
C537402,22849,15502,06-12-2010 14:43,-4,14.95,-59.8
C537402,22847,15502,06-12-2010 14:43,-4,14.95,-59.8
C537402,47580,15502,06-12-2010 14:43,-6,2.55,-15.3
C537402,22196,15502,06-12-2010 14:43,-12,0.85,-10.2
C537406,22926,15502,06-12-2010 14:53,-4,5.95,-23.8
C537406,22927,15502,06-12-2010 14:53,-4,5.95,-23.8
C537406,22847,15502,06-12-2010 14:53,-4,14.95,-59.8
C537406,22849,15502,06-12-2010 14:53,-4,14.95,-59.8
C537408,47580,15502,06-12-2010 14:55,-6,2.55,-15.3
C537408,22196,15502,06-12-2010 14:55,-12,0.85,-10.2
C537413,22834,14409,06-12-2010 15:07,-72,2.1,-151.2
C537414,POST,16861,06-12-2010 15:09,-1,4.41,-4.41
C537414,22086,16861,06-12-2010 15:09,-6,2.95,-17.7
C537416,22840,16138,06-12-2010 15:10,-1,7.95,-7.95
C537417,22960,13481,06-12-2010 15:12,-1,4.25,-4.25
C537431,21755,16782,06-12-2010 16:10,-1,5.95,-5.95
C537444,22580,14850,07-12-2010 08:42,-8,5.95,-47.6
C537445,22418,15021,07-12-2010 08:57,-11,0.85,-9.35
C537530,21527,13319,07-12-2010 11:47,-1,7.95,-7.95
C537530,85047,13319,07-12-2010 11:47,-2,6.35,-12.7
C537530,22726,13319,07-12-2010 11:47,-2,3.75,-7.5
C537572,BANK CHARGES,,07-12-2010 12:00,-1,95.38,-95.38
C537581,S,,07-12-2010 12:03,-1,12.95,-12.95
C537581,S,,07-12-2010 12:03,-1,52,-52
C537596,22968,17954,07-12-2010 12:31,-2,9.95,-19.9
C537597,D,15498,07-12-2010 12:34,-1,281,-281
C537600,AMAZONFEE,,07-12-2010 12:41,-1,1,-1
C537602,85099B,17511,07-12-2010 12:45,-1,1.65,-1.65
C537602,21622,17511,07-12-2010 12:45,-1,4.95,-4.95
C537602,22065,17511,07-12-2010 12:45,-1,1.25,-1.25
C537602,22061,17511,07-12-2010 12:45,-1,8.5,-8.5
C537602,22654,17511,07-12-2010 12:45,-1,4.95,-4.95
C537602,85123A,17511,07-12-2010 12:45,-1,2.55,-2.55
C537602,22665,17511,07-12-2010 12:45,-1,2.95,-2.95
C537602,22197,17511,07-12-2010 12:45,-1,0.72,-0.72
C537602,22659,17511,07-12-2010 12:45,-4,1.65,-6.6
C537602,22169,17511,07-12-2010 12:45,-1,7.65,-7.65
C537602,21843,17511,07-12-2010 12:45,-1,9.95,-9.95
C537602,22423,17511,07-12-2010 12:45,-2,10.95,-21.9
C537602,84050,17511,07-12-2010 12:45,-1,1.25,-1.25
C537602,22198,17511,07-12-2010 12:45,-1,1.45,-1.45
C537610,M,,07-12-2010 13:23,-1,631.31,-631.31
C537611,22865,17675,07-12-2010 13:25,-36,2.1,-75.6
C537613,M,,07-12-2010 13:28,-1,313.78,-313.78
C537630,AMAZONFEE,,07-12-2010 15:04,-1,13541.33,-13541.33
C537644,AMAZONFEE,,07-12-2010 15:34,-1,13474.79,-13474.79
C537647,AMAZONFEE,,07-12-2010 15:41,-1,5519.25,-5519.25
C537651,AMAZONFEE,,07-12-2010 15:49,-1,13541.33,-13541.33
C537652,AMAZONFEE,,07-12-2010 15:51,-1,6706.71,-6706.71
